,afterHoursDistance,afterHoursDrivingDuration,afterHoursEnd,afterHoursStart,afterHoursStopDuration,averageSpeed,distance,drivingDuration,engineHours,idlingDuration,isSeatBeltOff,maximumSpeed,nextTripStart,speedRange1,speedRange1Duration,speedRange2,speedRange2Duration,speedRange3,speedRange3Duration,start,stop,stopDuration,stopPoint,workDistance,workDrivingDuration,workStopDuration,device,driver,id
42,0.0,00:00:00,False,False,00:00:00,44.27106,22.958689,00:31:06.937000,20974320.0,00:02:21,False,105,2022-06-06 15:26:07.063000+00:00,0,00:00:00,0,00:00:00,0,00:00:00,2022-06-06 14:49:32.063000+00:00,2022-06-06 15:20:39+00:00,00:05:28.063000,"{'x': -73.70342254638672, 'y': 45.45477294921875}",22.958689,00:31:06.937000,00:05:28.063000,{'id': 'b48'},"{'id': 'b6C', 'isDriver': True}",b13B4684
43,0.0,00:00:00,False,False,00:00:00,16.967144,7.800173,00:27:35,39690095.937,00:04:03,False,77,2022-06-06 15:24:56+00:00,0,00:00:00,0,00:00:00,0,00:00:00,2022-06-06 14:53:18+00:00,2022-06-06 15:20:53+00:00,00:04:03,"{'x': -73.6596450805664, 'y': 45.49552536010742}",7.800173,00:27:35,00:04:03,{'id': 'b26'},UnknownDriverId,b13B463D
44,0.0,00:00:00,False,False,00:00:00,37.067833,20.829414,00:33:42.937000,2042280.0,00:00:17,False,100,2022-06-06 15:46:56.063000+00:00,0,00:00:00,0,00:00:00,0,00:00:00,2022-06-06 14:47:24.063000+00:00,2022-06-06 15:21:07+00:00,00:25:49.063000,"{'x': -73.61487579345703, 'y': 45.72444152832031}",20.829414,00:33:42.937000,00:25:49.063000,{'id': 'bA7'},UnknownDriverId,b13B4B7F
45,0.0,00:00:00,False,False,00:00:00,1.9437171,0.37200585,00:11:29,48300197.98,00:03:22,False,17,2022-06-06 15:24:56+00:00,0,00:00:00,0,00:00:00,0,00:00:00,2022-06-06 15:10:05+00:00,2022-06-06 15:21:34+00:00,00:03:22,"{'x': -73.70329284667969, 'y': 45.455078125}",0.37200585,00:11:29,00:03:22,{'id': 'b35'},UnknownDriverId,b13B4641
46,0.0,00:00:00,False,False,00:00:00,76.06577,97.976944,01:17:17,42677134.987,00:07:53,False,107,2022-06-06 15:29:35+00:00,0,00:00:00,0,00:00:00,0,00:00:00,2022-06-06 14:04:25+00:00,2022-06-06 15:21:42+00:00,00:07:53,"{'x': -73.69218444824219, 'y': 45.45756149291992}",97.976944,01:17:17,00:07:53,{'id': 'b42'},"{'id': 'b88', 'isDriver': True}",b13B470C
47,0.0,00:00:00,False,False,00:00:00,45.2655,17.33841,00:22:58.937000,67727458.937,00:03:15,False,105,2022-06-06 15:25:24+00:00,0,00:00:00,0,00:00:00,0,00:00:00,2022-06-06 14:59:10.063000+00:00,2022-06-06 15:22:09+00:00,00:03:15,"{'x': -79.65913391113281, 'y': 43.79939651489258}",17.33841,00:22:58.936999,00:03:15,{'id': 'b1'},"{'id': 'b134', 'isDriver': True}",b13B4612
48,0.0,00:00:00,False,False,00:00:00,1.190961,0.07079601,00:03:34,64357478.937,00:03:03,False,8,2022-06-06 15:25:13+00:00,0,00:00:00,0,00:00:00,0,00:00:00,2022-06-06 15:18:36+00:00,2022-06-06 15:22:10+00:00,00:03:03,"{'x': -73.69807434082031, 'y': 45.45758819580078}",0.07079601,00:03:34,00:03:03,{'id': 'b39'},UnknownDriverId,b13B464F
49,0.0,00:00:00,False,False,00:00:00,5.4432883,0.06180098,00:00:40.873000,59622520.873,00:04:45,False,9,2022-06-06 15:27:10+00:00,0,00:00:00,0,00:00:00,0,00:00:00,2022-06-06 15:21:44.127000+00:00,2022-06-06 15:22:25+00:00,00:04:45,"{'x': -73.703369140625, 'y': 45.467262268066406}",0.06180098,00:00:40.873000,00:04:45,{'id': 'bC6'},UnknownDriverId,b13B468A
50,0.0,00:00:00,False,False,00:00:00,0.8148385,0.0153913945,00:01:08,65608512.0,00:08:46,False,4,2022-06-06 15:31:40+00:00,0,00:00:00,0,00:00:00,0,00:00:00,2022-06-06 15:21:46+00:00,2022-06-06 15:22:54+00:00,00:08:46,"{'x': -73.66609954833984, 'y': 45.44926834106445}",0.0153913945,00:01:08,00:08:46,{'id': 'b22'},UnknownDriverId,b13B47F9
51,0.0,00:00:00,False,False,00:00:00,36.535378,36.575974,01:00:04,68371560.0,00:05:07,False,87,2022-06-06 15:36:28.063000+00:00,0,00:00:00,0,00:00:00,0,00:00:00,2022-06-06 14:23:11+00:00,2022-06-06 15:23:15+00:00,00:13:13.063000,"{'x': -73.71330261230469, 'y': 45.57207107543945}",36.575974,01:00:04,00:13:13.063000,{'id': 'b53'},UnknownDriverId,b13B492A
